Age,Gender,Social Class,Job,Color,Font,Position
seniors,female,a,enviroment,blue,complex,up
youth,female,c,education,blue,simple,up
adults,male,a,mass communication,orange,elegant,left
adults,female,a,enviroment,black,simple,down
seniors,male,c,sales,yellow,simple,left
youth,male,a,police,pink,elegant,up
youth,female,a,police,purple,complex,left
children,female,a,weather,pink,elegant,up
seniors,male,c,weather,yellow,simple,right
seniors,female,c,computer science,orange,simple,down
adults,female,c,police,green,simple,up
children,male,a,police,purple,complex,down
children,male,c,police,black,complex,down
children,female,a,education,white,complex,left
adults,female,b,restaurants,black,simple,up
youth,female,b,enviroment,purple,elegant,left
seniors,female,a,police,green,simple,right
seniors,male,b,enviroment,green,simple,left
seniors,female,b,sales,blue,cartoonish,left
youth,female,c,sales,pink,complex,left
adults,male,b,mechanic,orange,cartoonish,down
children,male,b,restaurants,blue,simple,up
adults,male,a,police,brown,simple,down
seniors,female,c,cinema,black,cartoonish,right
seniors,male,c,engineer,brown,cartoonish,down
youth,male,c,engineer,purple,elegant,down
children,male,c,weather,blue,elegant,up
seniors,male,c,mechanic,white,elegant,down
youth,male,a,engineer,green,simple,right
youth,male,b,weather,black,cartoonish,right
children,female,c,engineer,black,complex,right
youth,female,c,computer science,pink,cartoonish,left
seniors,male,c,enviroment,orange,cartoonish,up
seniors,female,c,sales,white,elegant,up
adults,female,c,engineer,red,cartoonish,right
children,female,a,education,purple,simple,right
children,male,c,restaurants,blue,complex,up
children,male,a,mechanic,green,complex,right
children,female,a,education,brown,elegant,left
children,male,b,engineer,green,cartoonish,right
children,male,c,enviroment,yellow,simple,right
adults,female,b,cinema,brown,complex,down
youth,female,c,police,brown,complex,down
seniors,male,a,cinema,blue,simple,up
youth,female,b,education,black,cartoonish,up
children,female,c,police,white,cartoonish,up
children,female,b,computer science,blue,complex,right
youth,female,b,cinema,orange,cartoonish,left
seniors,female,b,mass communication,blue,cartoonish,up
youth,female,b,engineer,green,elegant,left
youth,female,c,education,pink,elegant,left
children,female,a,cinema,orange,cartoonish,left
children,male,a,weather,yellow,elegant,right
youth,female,a,cinema,blue,complex,down
adults,female,b,education,orange,complex,right
adults,female,b,engineer,yellow,complex,left
seniors,male,b,enviroment,red,simple,down
adults,female,b,enviroment,pink,complex,down
children,male,c,computer science,red,complex,up
adults,male,c,engineer,blue,simple,left
seniors,female,b,mass communication,blue,simple,left
children,male,b,mechanic,orange,elegant,down
seniors,female,b,police,brown,elegant,left
youth,male,b,mechanic,green,complex,up
adults,male,c,mass communication,yellow,cartoonish,up
adults,male,b,education,yellow,elegant,left
seniors,female,b,mass communication,white,elegant,up
seniors,male,b,restaurants,white,simple,right
youth,male,a,cinema,orange,complex,left
seniors,male,a,restaurants,brown,simple,left
youth,male,c,weather,black,cartoonish,down
children,male,b,mass communication,blue,cartoonish,up
seniors,female,b,sales,red,simple,right
children,male,c,education,white,cartoonish,left
youth,female,b,medical,pink,cartoonish,right
children,female,c,education,yellow,elegant,up
youth,female,a,sales,brown,elegant,left
adults,male,c,police,black,elegant,up
children,male,b,mass communication,blue,simple,left
children,male,a,police,red,complex,down
youth,female,c,mechanic,red,cartoonish,right
seniors,male,c,engineer,blue,cartoonish,left
children,male,b,sales,green,elegant,left
adults,male,b,medical,blue,elegant,down
children,male,c,enviroment,black,cartoonish,left
adults,male,b,mechanic,yellow,elegant,left
children,female,b,sales,purple,simple,down
seniors,male,c,engineer,brown,cartoonish,right
children,female,a,computer science,brown,cartoonish,left
children,female,a,sales,black,cartoonish,up
seniors,male,a,police,blue,complex,down
youth,female,a,computer science,white,cartoonish,right
children,female,c,enviroment,white,complex,left
youth,female,b,computer science,pink,cartoonish,up
youth,female,c,sales,black,complex,left
seniors,female,c,enviroment,blue,cartoonish,down
youth,female,a,engineer,yellow,complex,up
adults,male,b,education,black,simple,right
seniors,female,a,computer science,pink,cartoonish,right
children,female,a,cinema,purple,complex,down
children,male,b,cinema,blue,elegant,up
children,male,b,mass communication,pink,cartoonish,down
youth,male,b,mechanic,black,simple,right
adults,female,a,enviroment,pink,complex,up
adults,male,c,police,purple,complex,left
children,male,b,mechanic,yellow,cartoonish,down
seniors,male,c,mass communication,purple,complex,left
seniors,female,a,engineer,red,cartoonish,right
seniors,male,b,cinema,pink,cartoonish,down
children,male,c,mechanic,red,cartoonish,down
children,female,b,medical,yellow,simple,right
youth,male,b,engineer,black,simple,left
youth,female,b,police,purple,complex,right
seniors,female,b,engineer,blue,cartoonish,left
adults,female,a,computer science,white,complex,right
seniors,male,c,police,pink,elegant,right
seniors,female,b,mass communication,orange,elegant,left
youth,male,b,enviroment,green,complex,right
youth,female,c,restaurants,white,cartoonish,left
seniors,female,a,computer science,blue,elegant,right
seniors,male,b,police,black,simple,left
adults,male,c,sales,brown,simple,right
adults,female,b,medical,brown,simple,up
seniors,female,c,sales,white,complex,up
children,female,b,restaurants,white,elegant,right
seniors,male,a,restaurants,pink,cartoonish,right
youth,female,a,engineer,black,cartoonish,right
seniors,female,c,enviroment,blue,simple,up
seniors,female,c,police,purple,complex,up
seniors,male,c,engineer,yellow,elegant,down
youth,male,c,police,yellow,simple,left
youth,female,a,medical,purple,cartoonish,down
children,female,a,restaurants,black,cartoonish,right
youth,female,c,mass communication,brown,elegant,up
youth,female,c,education,purple,cartoonish,right
adults,male,c,education,yellow,simple,up
children,female,c,cinema,blue,cartoonish,right
children,male,c,medical,red,complex,left
youth,male,a,computer science,yellow,cartoonish,up
youth,male,c,mass communication,blue,simple,down
youth,female,c,weather,black,cartoonish,up
children,female,c,police,blue,cartoonish,right
adults,female,a,weather,green,cartoonish,up
youth,female,c,cinema,brown,elegant,left
seniors,male,b,weather,black,simple,left
adults,female,c,cinema,purple,elegant,left
adults,female,a,sales,red,cartoonish,up
children,male,a,sales,green,elegant,up
youth,male,b,engineer,purple,complex,down
adults,male,b,sales,green,complex,right
youth,male,c,restaurants,brown,complex,left
children,female,a,cinema,orange,cartoonish,up
adults,female,c,cinema,yellow,simple,down
adults,male,a,engineer,yellow,cartoonish,up
children,male,a,weather,purple,cartoonish,left
seniors,male,c,education,white,cartoonish,right
seniors,male,c,education,blue,complex,down
youth,female,a,mechanic,purple,cartoonish,up
seniors,female,a,computer science,orange,elegant,down
seniors,female,c,cinema,pink,elegant,right
seniors,female,b,mechanic,blue,complex,right
seniors,female,c,police,orange,cartoonish,right
youth,male,b,medical,black,elegant,left
adults,female,a,sales,brown,elegant,down
seniors,male,a,medical,red,elegant,left
youth,male,a,restaurants,purple,cartoonish,up
adults,female,b,education,brown,elegant,down
adults,male,b,mechanic,pink,simple,right
children,male,a,mechanic,yellow,simple,right
youth,female,b,mechanic,red,elegant,left
youth,male,c,cinema,brown,simple,up
adults,male,a,computer science,pink,complex,right
seniors,female,c,medical,brown,complex,down
adults,female,c,computer science,blue,elegant,down
youth,female,a,mechanic,brown,cartoonish,down
children,male,c,cinema,orange,elegant,up
youth,male,a,mass communication,orange,cartoonish,up
youth,female,a,restaurants,yellow,simple,up
children,male,a,weather,green,cartoonish,left
youth,female,c,enviroment,red,simple,right
seniors,female,c,medical,pink,cartoonish,down
youth,female,c,enviroment,green,cartoonish,left
adults,male,a,weather,yellow,elegant,down
seniors,male,c,education,blue,elegant,up
adults,male,c,sales,brown,cartoonish,left
adults,male,b,police,green,cartoonish,left
children,male,a,mechanic,brown,simple,left
children,male,a,mass communication,yellow,complex,left
adults,female,a,police,brown,elegant,left
seniors,male,c,computer science,brown,simple,up
seniors,female,b,enviroment,white,cartoonish,left
children,female,b,mechanic,blue,simple,down
adults,female,b,engineer,orange,cartoonish,up
children,female,a,weather,black,elegant,left
seniors,female,c,weather,green,cartoonish,right
adults,female,b,sales,blue,cartoonish,up
adults,female,b,weather,purple,simple,up
youth,female,c,computer science,red,simple,right
adults,male,a,sales,brown,simple,left
children,female,a,medical,black,complex,left
adults,male,b,restaurants,brown,cartoonish,right
seniors,female,a,medical,red,cartoonish,up
seniors,male,a,sales,pink,cartoonish,up
seniors,female,b,police,brown,complex,down
seniors,male,a,police,orange,elegant,left
seniors,male,a,cinema,white,complex,left
adults,female,b,weather,black,complex,down
seniors,male,c,weather,purple,complex,left
youth,female,c,medical,red,simple,left
adults,male,a,restaurants,brown,cartoonish,down
seniors,male,a,mass communication,brown,simple,up
youth,female,a,medical,purple,complex,left
seniors,female,c,sales,pink,complex,left
adults,female,c,police,blue,simple,left
youth,female,c,mechanic,black,elegant,right
youth,male,c,mass communication,brown,cartoonish,up
seniors,female,a,education,brown,complex,left
seniors,female,c,mass communication,pink,complex,up
youth,male,a,restaurants,pink,complex,up
youth,male,b,mass communication,purple,elegant,up
adults,female,b,cinema,green,complex,up
adults,female,c,mass communication,green,complex,down
adults,female,a,sales,green,simple,down
youth,female,a,enviroment,white,elegant,left
seniors,male,a,police,black,cartoonish,up
children,female,a,restaurants,orange,elegant,down
children,male,c,cinema,pink,simple,down
seniors,male,b,medical,white,cartoonish,up
youth,male,a,computer science,yellow,cartoonish,up
children,male,b,computer science,white,simple,up
youth,female,c,weather,pink,cartoonish,left
adults,male,a,medical,green,cartoonish,left
adults,male,c,engineer,black,simple,down
seniors,male,a,education,black,simple,left
seniors,female,c,engineer,green,elegant,up
seniors,male,a,education,red,elegant,right
youth,female,c,medical,brown,complex,right
seniors,male,a,mass communication,green,cartoonish,up
seniors,female,a,mass communication,black,elegant,right
seniors,female,c,education,black,elegant,up
youth,female,c,sales,red,simple,up
children,female,a,cinema,black,cartoonish,down
adults,male,c,restaurants,blue,simple,right
youth,male,b,medical,green,cartoonish,down
seniors,male,a,police,purple,simple,right
seniors,male,a,education,purple,elegant,right
children,female,a,sales,purple,complex,up
adults,female,b,cinema,pink,elegant,right
youth,male,a,police,brown,cartoonish,up
youth,female,b,enviroment,purple,cartoonish,up
adults,female,a,restaurants,red,complex,right
adults,male,a,medical,white,simple,left
youth,female,c,sales,green,cartoonish,down
youth,female,b,mechanic,purple,elegant,down
children,male,c,mechanic,red,elegant,down
youth,female,b,mass communication,pink,cartoonish,down
adults,female,a,police,red,simple,right
children,female,a,education,pink,elegant,right
children,male,b,computer science,black,complex,right
adults,male,b,education,red,cartoonish,left
youth,male,c,computer science,red,cartoonish,left
adults,female,b,mass communication,pink,complex,right
adults,female,b,medical,pink,complex,right
adults,male,a,education,white,elegant,down
seniors,female,a,mechanic,yellow,elegant,right
adults,male,b,education,pink,complex,right
children,female,b,mechanic,pink,cartoonish,down
adults,female,c,sales,red,cartoonish,right
seniors,male,a,sales,orange,elegant,right
seniors,female,c,police,black,complex,up
seniors,female,a,cinema,black,cartoonish,up
children,male,a,engineer,red,cartoonish,right
seniors,male,a,sales,pink,elegant,left
children,female,b,enviroment,red,simple,down
seniors,female,c,enviroment,white,simple,left
seniors,male,a,engineer,brown,elegant,down
youth,male,a,cinema,purple,complex,up
children,female,b,police,green,complex,up
children,male,b,medical,green,simple,right
adults,female,b,restaurants,white,elegant,up
seniors,male,b,engineer,pink,complex,left
children,male,a,mechanic,yellow,cartoonish,up
children,male,a,medical,white,complex,left
adults,male,c,computer science,white,simple,down
children,male,a,mechanic,brown,cartoonish,left
adults,female,a,enviroment,purple,complex,up
youth,female,c,engineer,pink,cartoonish,left
adults,female,c,police,yellow,cartoonish,right
youth,male,b,enviroment,red,complex,up
seniors,male,b,mechanic,purple,cartoonish,up
adults,male,a,weather,black,cartoonish,left
adults,male,a,mass communication,pink,simple,right
seniors,male,b,sales,green,cartoonish,down
seniors,female,c,computer science,white,elegant,up
adults,female,c,cinema,black,complex,down
seniors,male,b,cinema,red,cartoonish,right
adults,male,b,enviroment,orange,cartoonish,up
seniors,female,a,weather,black,elegant,down
seniors,male,a,weather,orange,complex,up
children,female,c,computer science,brown,complex,left
seniors,male,a,engineer,blue,simple,left
children,female,b,enviroment,red,complex,up
adults,female,c,enviroment,red,cartoonish,right
youth,female,c,weather,yellow,simple,left
seniors,male,c,mechanic,black,elegant,down
adults,male,b,weather,black,complex,left
seniors,male,b,engineer,pink,complex,left
children,female,b,weather,orange,complex,left
seniors,female,c,restaurants,pink,simple,up
adults,female,b,education,pink,simple,left
seniors,male,a,education,brown,elegant,right
seniors,female,c,enviroment,pink,complex,down
adults,female,b,computer science,red,elegant,up
children,male,c,cinema,purple,cartoonish,left
youth,female,c,engineer,purple,complex,right
youth,female,b,cinema,black,cartoonish,up
youth,male,b,engineer,brown,cartoonish,down
adults,male,c,computer science,red,cartoonish,up
children,male,c,restaurants,white,simple,up
seniors,male,b,police,green,complex,left
children,female,c,cinema,red,cartoonish,right
seniors,female,a,engineer,white,cartoonish,up
adults,male,c,sales,blue,elegant,up
adults,female,b,engineer,red,simple,up
adults,male,b,mass communication,black,complex,right
seniors,female,a,cinema,pink,complex,right
youth,female,a,medical,brown,simple,right
adults,male,b,enviroment,black,elegant,left
youth,female,b,police,blue,complex,up
youth,male,c,medical,black,elegant,left
seniors,female,c,police,brown,elegant,up
seniors,female,b,police,orange,complex,down
seniors,male,a,weather,brown,elegant,left
adults,male,a,restaurants,green,simple,down
adults,female,b,police,brown,complex,right
seniors,female,c,cinema,yellow,elegant,left
adults,female,c,education,yellow,cartoonish,left
adults,female,b,weather,red,elegant,down
seniors,male,c,police,orange,elegant,down
seniors,female,a,enviroment,orange,cartoonish,right
seniors,female,b,education,brown,simple,left
children,male,c,weather,black,simple,right
adults,female,a,computer science,pink,elegant,up
seniors,female,b,engineer,purple,complex,left
adults,female,c,mechanic,pink,simple,left
seniors,male,c,enviroment,green,cartoonish,right
youth,male,b,police,green,elegant,down
youth,female,c,medical,green,cartoonish,down
children,male,a,mass communication,brown,elegant,right
youth,female,a,education,orange,simple,down
adults,male,b,medical,red,elegant,down
youth,female,c,mechanic,yellow,elegant,up
youth,male,c,restaurants,yellow,cartoonish,left
adults,female,a,computer science,red,complex,left
adults,female,a,police,purple,simple,right
adults,female,c,computer science,black,simple,left
children,male,c,sales,green,cartoonish,left
seniors,female,c,mass communication,black,elegant,down
adults,male,a,education,pink,complex,right
youth,male,a,engineer,orange,complex,up
youth,female,a,restaurants,orange,cartoonish,up
seniors,female,a,mechanic,black,elegant,down
seniors,female,b,enviroment,brown,simple,up
adults,female,a,computer science,green,elegant,right
seniors,male,c,weather,blue,elegant,left
youth,male,b,enviroment,black,elegant,left
adults,female,c,mechanic,blue,complex,right
children,male,b,mechanic,brown,elegant,left
children,male,a,weather,purple,complex,down
youth,male,c,education,blue,elegant,down
seniors,male,c,weather,white,complex,left
seniors,female,a,police,red,elegant,up
seniors,female,c,education,green,cartoonish,down
youth,female,b,computer science,white,complex,down
seniors,male,b,medical,orange,complex,up
adults,male,b,mass communication,pink,cartoonish,up
seniors,male,a,mass communication,red,elegant,down
adults,female,a,weather,green,cartoonish,up
adults,female,b,computer science,brown,complex,down
seniors,female,c,weather,purple,complex,up
adults,female,b,computer science,blue,cartoonish,left
seniors,female,c,mass communication,brown,complex,left
adults,male,c,education,yellow,complex,right
adults,female,a,mass communication,red,complex,down
youth,female,c,medical,green,cartoonish,down
seniors,male,c,mass communication,brown,complex,up
children,female,a,mechanic,green,complex,right
seniors,male,b,restaurants,white,elegant,right
seniors,male,c,cinema,red,complex,right
children,female,a,cinema,yellow,simple,left
adults,female,b,mass communication,white,cartoonish,up
youth,female,c,mass communication,black,complex,right
seniors,female,b,weather,orange,complex,down
seniors,female,a,mass communication,yellow,cartoonish,down
seniors,male,a,sales,black,simple,up
seniors,male,a,police,black,simple,down
children,male,a,sales,blue,elegant,left
youth,male,a,computer science,green,cartoonish,right
seniors,male,c,enviroment,green,simple,right
children,male,a,medical,yellow,simple,left
seniors,male,b,restaurants,pink,simple,down
children,male,c,mechanic,white,cartoonish,right
children,female,c,mechanic,orange,elegant,left
adults,female,b,computer science,green,elegant,up
youth,male,b,computer science,red,elegant,right
adults,female,c,weather,orange,cartoonish,right
children,male,c,restaurants,brown,elegant,down
children,female,a,enviroment,green,elegant,down
adults,female,b,cinema,white,simple,right
children,male,a,medical,brown,cartoonish,up
children,male,c,mass communication,red,cartoonish,down
adults,female,c,enviroment,purple,elegant,down
adults,female,c,cinema,yellow,complex,right
seniors,female,b,mass communication,pink,complex,down
adults,male,b,computer science,red,elegant,left
children,male,b,mechanic,yellow,complex,down
youth,male,b,education,pink,elegant,down
youth,male,a,enviroment,yellow,complex,up
youth,male,a,police,blue,complex,down
seniors,female,b,cinema,orange,elegant,up
children,male,a,medical,purple,elegant,down
seniors,male,c,mass communication,brown,simple,left
adults,female,c,cinema,orange,complex,right
children,male,a,cinema,white,simple,left
adults,male,a,medical,black,simple,left
youth,female,b,cinema,black,complex,left
adults,female,b,medical,brown,cartoonish,left
seniors,female,c,sales,brown,complex,down
youth,male,c,computer science,yellow,elegant,right
children,male,b,medical,orange,cartoonish,up
adults,female,a,computer science,green,complex,down
seniors,male,c,mass communication,pink,simple,left
adults,male,b,cinema,red,simple,left
children,male,a,computer science,red,elegant,right
adults,female,c,education,purple,complex,right
youth,female,c,computer science,brown,elegant,down
seniors,female,c,computer science,white,cartoonish,up
adults,female,c,enviroment,blue,simple,down
seniors,female,b,mass communication,purple,complex,down
youth,female,b,cinema,red,elegant,up
youth,female,b,engineer,purple,complex,down
youth,male,c,enviroment,green,simple,down
adults,female,c,enviroment,red,simple,right
children,female,a,computer science,purple,cartoonish,down
youth,male,a,sales,yellow,elegant,up
seniors,female,a,education,green,complex,up
seniors,female,c,education,pink,elegant,left
youth,male,b,cinema,orange,complex,left
adults,female,b,sales,red,cartoonish,left
youth,female,c,computer science,pink,elegant,left
youth,female,c,enviroment,red,simple,left
youth,male,b,education,orange,complex,left
youth,female,c,police,pink,cartoonish,left
adults,female,c,computer science,red,elegant,down
youth,male,c,police,purple,cartoonish,right
adults,female,a,mass communication,blue,cartoonish,up
youth,male,b,education,brown,cartoonish,right
youth,female,a,mechanic,orange,cartoonish,left
children,female,b,engineer,black,simple,right
adults,male,c,cinema,red,cartoonish,right
children,male,a,enviroment,red,cartoonish,up
youth,male,b,sales,yellow,simple,right
children,male,b,education,yellow,complex,left
children,female,b,police,white,elegant,left
adults,female,a,weather,brown,elegant,down
children,male,c,enviroment,black,simple,down
seniors,female,b,education,black,elegant,up
