Age,Gender,Social Class,Job,Color,Font,Position
adult,female,lower,agriculture,green,elegant,up
teen,female,lower,law,pink,bold,down
child,male,upper,arts,blue,thin,left
elder,male,all,medicine,grey,bubbly,right
all,female,upper,animals,black,bubbly,right
adult,female,lower,law,black,bold,right
elder,male,upper,public safety and security,orange,bubbly,left
adult,male,upper,education and training,purple,modern,up
all,male,all,public safety and security,pink,thin,right
adult,male,upper,software engineering,brown,classy,right
teen,female,middle,public safety and security,purple,thin,down
adult,both,lower,public safety and security,black,modern,left
young adult,male,lower,engineering and math,red,elegant,right
child,male,all,food and natural resources,green,thin,left
adult,female,middle,agriculture,pink,bold,right
all,both,middle,audio and video technology,black,thin,right
all,female,middle,software engineering,purple,classy,down
elder,both,all,public safety and security,brown,classy,up
child,male,middle,public safety and security,yellow,bold,up
teen,female,middle,communication,black,elegant,up
child,both,upper,government and public administration,grey,classy,left
adult,female,upper,software engineering,orange,bubbly,up
child,male,upper,agriculture,red,modern,up
young adult,male,all,engineering and math,purple,classy,left
teen,female,all,business and finance,brown,thin,right
child,female,all,government and public administration,grey,classy,up
elder,male,upper,science,purple,elegant,up
adult,both,upper,arts,grey,bold,down
young adult,both,upper,animals,yellow,bold,left
young adult,both,all,audio and video technology,blue,bubbly,left
all,both,lower,games and entertainment,black,thin,down
elder,both,all,accessories and fashion,green,classy,left
teen,male,upper,communication,orange,thin,left
elder,female,lower,agriculture,pink,thin,up
young adult,both,upper,animals,green,classy,down
young adult,male,lower,agriculture,orange,elegant,down
all,male,all,agriculture,blue,bubbly,right
young adult,male,all,animals,pink,classy,right
child,female,all,games and entertainment,green,bold,up
adult,female,lower,science,red,bubbly,up
all,female,lower,accessories and fashion,green,bold,up
all,both,middle,accessories and fashion,grey,modern,right
young adult,male,upper,arts,brown,modern,down
young adult,both,all,marketing,pink,modern,right
teen,female,upper,games and entertainment,yellow,bubbly,down
all,male,all,food and natural resources,green,bubbly,right
young adult,female,upper,audio and video technology,pink,bubbly,left
all,male,middle,audio and video technology,brown,classy,left
all,female,all,architecture and construction,green,elegant,down
teen,male,upper,education and training,purple,elegant,left
adult,male,upper,government and public administration,green,elegant,left
child,female,upper,accessories and fashion,brown,elegant,right
adult,male,lower,engineering and math,pink,bubbly,left
teen,both,all,engineering and math,grey,bubbly,right
teen,both,upper,technology,brown,bold,left
child,male,lower,business and finance,grey,bold,left
child,male,middle,technology,brown,thin,left
child,both,middle,science,orange,bold,right
elder,male,middle,software engineering,brown,modern,right
elder,female,lower,science,green,elegant,left
teen,male,all,software engineering,grey,bold,up
teen,female,middle,food and natural resources,yellow,bold,up
all,female,middle,engineering and math,yellow,elegant,left
young adult,male,all,marketing,green,thin,right
child,both,upper,medicine,purple,elegant,right
child,male,all,science,black,modern,left
young adult,female,all,software engineering,purple,bold,left
teen,both,all,law,purple,bubbly,up
adult,male,upper,business and finance,yellow,modern,right
all,male,middle,software engineering,purple,bubbly,up
young adult,male,all,engineering and math,grey,thin,up
child,female,all,software engineering,grey,classy,down
adult,female,lower,arts,pink,bubbly,right
adult,both,all,law,black,thin,up
elder,female,all,public safety and security,yellow,bold,down
young adult,both,lower,communication,purple,classy,right
teen,male,middle,public safety and security,brown,elegant,right
young adult,female,lower,food and natural resources,orange,thin,down
child,male,upper,architecture and construction,grey,elegant,up
adult,male,middle,transportation,green,thin,up
child,male,all,communication,brown,classy,up
adult,male,upper,technology,grey,bold,right
all,male,middle,medicine,blue,classy,up
adult,both,lower,engineering and math,grey,thin,left
adult,both,middle,engineering and math,grey,thin,right
teen,female,lower,government and public administration,green,thin,down
elder,male,all,accessories and fashion,black,elegant,right
adult,both,lower,engineering and math,green,bold,down
teen,both,all,engineering and math,blue,thin,down
young adult,male,upper,business and finance,orange,bubbly,up
elder,male,middle,food and natural resources,red,classy,down
child,both,upper,marketing,brown,classy,left
child,female,upper,software engineering,yellow,bubbly,up
all,male,lower,science,green,thin,up
child,male,upper,law,blue,modern,down
young adult,male,lower,animals,red,thin,down
teen,female,lower,law,orange,modern,up
adult,both,lower,technology,purple,modern,left
adult,both,all,agriculture,pink,modern,up
all,both,lower,technology,grey,classy,left
young adult,both,lower,software engineering,green,modern,down
teen,both,lower,law,blue,bold,right
adult,male,upper,audio and video technology,red,thin,left
young adult,both,lower,accessories and fashion,purple,elegant,down
elder,both,middle,games and entertainment,blue,classy,down
child,female,all,science,brown,thin,down
teen,female,middle,arts,blue,elegant,right
elder,female,middle,animals,black,modern,up
young adult,male,upper,transportation,brown,bubbly,down
child,male,middle,arts,orange,bold,right
teen,both,upper,law,red,thin,left
young adult,male,middle,software engineering,grey,bold,right
young adult,both,middle,business and finance,green,modern,up
child,male,all,government and public administration,red,modern,down
young adult,both,all,education and training,green,bold,right
young adult,both,all,architecture and construction,grey,bubbly,down
elder,both,lower,engineering and math,red,thin,left
all,both,upper,education and training,grey,elegant,down
young adult,female,all,games and entertainment,green,elegant,down
elder,both,lower,public safety and security,green,thin,up
teen,male,middle,science,pink,modern,left
child,female,middle,food and natural resources,purple,modern,down
adult,both,all,software engineering,purple,bold,up
teen,female,upper,communication,black,modern,down
all,male,upper,software engineering,pink,modern,up
all,female,lower,government and public administration,orange,classy,down
adult,both,upper,communication,green,thin,right
teen,both,middle,agriculture,black,bubbly,right
elder,female,all,law,yellow,bubbly,left
all,female,upper,animals,pink,modern,right
adult,both,middle,agriculture,pink,modern,down
all,both,upper,food and natural resources,grey,classy,up
young adult,both,all,agriculture,purple,thin,left
young adult,male,middle,architecture and construction,blue,bubbly,left
teen,both,all,medicine,red,bubbly,left
young adult,female,middle,marketing,pink,bubbly,up
teen,both,middle,architecture and construction,black,bold,right
young adult,female,upper,government and public administration,blue,classy,up
all,male,upper,communication,grey,classy,up
adult,both,middle,engineering and math,black,bold,left
